canvas_id,course_name,type,title,date,link,is_completed,grade,summary
10500000016380828,Econ 102 Section 010 Microeconomic Analysis,assignment,TPS Points (Updated Around Each Exam),,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380828,N/A,1500.0,N/A
10500000016380815,Econ 102 Section 010 Microeconomic Analysis,assignment,"Exam 1 (Chapters 1, 2, 3, 5, 4, 19)",2024-10-02T18:30:00Z,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380815,N/A,1800.0,N/A
10500000016380818,Econ 102 Section 010 Microeconomic Analysis,assignment,"Exam 2 (Chapters 7, 8, 9, 12, 13, 14)",2024-11-06T19:30:00Z,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380818,N/A,1800.0,N/A
10500000016380821,Econ 102 Section 010 Microeconomic Analysis,assignment,"Exam 3 (Chapters 6, 16, 17, 18, Behavioral Economics)",2024-12-06T19:30:00Z,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380821,N/A,1800.0,N/A
10500000016380824,Econ 102 Section 010 Microeconomic Analysis,assignment,Final Exam (in Forum 111),2024-12-16T15:10:00Z,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380824,N/A,1600.0,N/A
10500000016380825,Econ 102 Section 010 Microeconomic Analysis,assignment,Homework Grade (Will be calculated at the end of the course),2024-12-17T04:59:00Z,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380825,N/A,1500.0,N/A
10500000016380826,Econ 102 Section 010 Microeconomic Analysis,assignment,SEEQ Extra Credit,2024-12-17T04:59:59Z,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380826,N/A,50.0,N/A
10500000016380816,Econ 102 Section 010 Microeconomic Analysis,assignment,Exam 1 Free Response Grade (Out of 8),,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380816,N/A,8.0,N/A
10500000016380817,Econ 102 Section 010 Microeconomic Analysis,assignment,Exam 1 Multiple Choice Grade (out of 14),,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380817,N/A,14.0,N/A
10500000016380819,Econ 102 Section 010 Microeconomic Analysis,assignment,Exam 2 Free Response (Out of 7),,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380819,N/A,7.0,N/A
10500000016380820,Econ 102 Section 010 Microeconomic Analysis,assignment,Exam 2 Multiple Choice (out of 14),,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380820,N/A,14.0,N/A
10500000016380822,Econ 102 Section 010 Microeconomic Analysis,assignment,Exam 3 Free Repsonse,,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380822,N/A,7.0,N/A
10500000016380823,Econ 102 Section 010 Microeconomic Analysis,assignment,Exam 3 Multiple Choice,,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380823,N/A,14.0,N/A
10500000016380830,Econ 102 Section 010 Microeconomic Analysis,assignment,Total Grade (Without SEEQ Extra Points),,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380830,N/A,10000.0,N/A
10500000017020442,Cmpen 270 Spring 2025,assignment,TH-Attendance,,https://canvas.instructure.com/courses/10500000002361950/assignments/1050~17020442,N/A,18.0,N/A
10500000016890741,Cmpen 270 Spring 2025,assignment,HW #1,2025-01-24T04:59:59Z,https://canvas.instructure.com/courses/10500000002361950/assignments/1050~16890741,N/A,100.0,N/A
10500000016890743,Cmpen 270 Spring 2025,assignment,HW #2,2025-01-31T04:59:59Z,https://canvas.instructure.com/courses/10500000002361950/assignments/1050~16890743,N/A,100.0,N/A
10500000016890744,Cmpen 270 Spring 2025,assignment,HW #3,2025-02-07T04:59:59Z,https://canvas.instructure.com/courses/10500000002361950/assignments/1050~16890744,N/A,100.0,N/A
10500000017039570,Cmpen 270 Spring 2025,assignment,HW#3 Extra Credit Submission,2025-02-07T04:59:59Z,https://canvas.instructure.com/courses/10500000002361950/assignments/1050~17039570,N/A,0.0,N/A
10500000016890745,Cmpen 270 Spring 2025,assignment,HW #4,2025-02-14T04:59:59Z,https://canvas.instructure.com/courses/10500000002361950/assignments/1050~16890745,N/A,100.0,N/A
10500000016890747,Cmpen 270 Spring 2025,assignment,HW #4 Extra Credit Submission ,2025-02-14T04:59:59Z,https://canvas.instructure.com/courses/10500000002361950/assignments/1050~16890747,N/A,0.0,N/A
