id,created_at,updated_at,category,content-type,display_name,filename,folder_id,hidden,hidden_for_user,lock_at,locked,locked_for_user,media_entry_id,mime_class,modified_at,size,thumbnail_url,unlock_at,upload_status,url,uuid,visibility_level
10500000179500010,2025-07-28T16:19:10Z,2025-07-28T16:19:10Z,uncategorized,text/html,bare_gaia.html,bare_gaia.html,10500000022001915,False,False,,False,False,,html,2020-01-29T17:30:34Z,11705,,,success,https://canvas.instructure.com/files/1050~179500010/download?download_frd=1&verifier=v6dWATUXZ5GnDwUMJyFXTOA8nSlvoGDeiK83Ohgw,v6dWATUXZ5GnDwUMJyFXTOA8nSlvoGDeiK83Ohgw,inherit
10500000179499988,2025-07-28T16:19:07Z,2025-07-28T16:19:07Z,uncategorized,text/html,bare_kurose.html,bare_kurose.html,10500000022001915,False,False,,False,False,,html,2020-01-29T17:34:37Z,23506,,,success,https://canvas.instructure.com/files/1050~179499988/download?download_frd=1&verifier=JhQ9euxp6zfKGKNhmStaHfE63vYrGRhcdbEPTKZr,JhQ9euxp6zfKGKNhmStaHfE63vYrGRhcdbEPTKZr,inherit
10500000181016007,2025-09-01T18:10:07Z,2025-09-01T19:47:08Z,uncategorized,application/vnd.openxmlformats-officedocument.presentationml.presentation,Chapter_1_V7.01.pptx,Chapter_1_V7.01.pptx,10500000022001915,False,False,,False,False,,ppt,2025-09-01T18:10:07Z,7104998,,,success,https://canvas.instructure.com/files/1050~181016007/download?download_frd=1&verifier=1Obp45uIexymWy8yC9Y93yhUHpsLfcmE5jM5BvYI,1Obp45uIexymWy8yC9Y93yhUHpsLfcmE5jM5BvYI,inherit
10500000182921230,2025-10-07T14:17:12Z,2025-10-08T18:29:46Z,uncategorized,application/vnd.openxmlformats-officedocument.presentationml.presentation,Chapter_1-3_review.pptx,Chapter_1-3_review.pptx,10500000022001915,False,False,,False,False,,ppt,2025-10-07T14:17:12Z,37761,,,success,https://canvas.instructure.com/files/1050~182921230/download?download_frd=1&verifier=Pa4wX6chB8sC02yK2Zwr3CjvLGYG4uVw5NdkkVqB,Pa4wX6chB8sC02yK2Zwr3CjvLGYG4uVw5NdkkVqB,inherit
10500000179500021,2025-07-28T16:19:12Z,2025-09-03T18:39:13Z,uncategorized,application/vnd.openxmlformats-officedocument.presentationml.presentation,Chapter_1-6_review.pptx,Chapter_1-6_review.pptx,10500000022001915,False,False,,False,False,,ppt,2023-11-10T01:18:13Z,82180,,,success,https://canvas.instructure.com/files/1050~179500021/download?download_frd=1&verifier=7S8oPv8OHEQ1Zrf0Ylrkp7Wt50PBX92nyCliX0Vk,7S8oPv8OHEQ1Zrf0Ylrkp7Wt50PBX92nyCliX0Vk,inherit
10500000181793319,2025-09-16T02:47:10Z,2025-09-16T13:02:35Z,uncategorized,application/vnd.openxmlformats-officedocument.presentationml.presentation,Chapter_2_V7.01.pptx,Chapter_2_V7.01.pptx,10500000022001915,False,False,,False,False,,ppt,2025-09-16T02:47:10Z,2374028,,,success,https://canvas.instructure.com/files/1050~181793319/download?download_frd=1&verifier=2U0Iqg9rgbt1IWv5ASYnPSIBmbDJmQny4jY9QbxX,2U0Iqg9rgbt1IWv5ASYnPSIBmbDJmQny4jY9QbxX,inherit
10500000182286744,2025-09-24T17:29:19Z,2025-09-24T18:44:15Z,uncategorized,application/vnd.openxmlformats-officedocument.presentationml.presentation,Chapter_3_V7.01.pptx,Chapter_3_V7.01.pptx,10500000022001915,False,False,,False,False,,ppt,2025-09-24T17:29:19Z,1253710,,,success,https://canvas.instructure.com/files/1050~182286744/download?download_frd=1&verifier=n8107x9nz7Dr0febbSjnfz2tMWJ2L1CqzdMafznM,n8107x9nz7Dr0febbSjnfz2tMWJ2L1CqzdMafznM,inherit
10500000183412251,2025-10-16T16:41:15Z,2025-10-22T19:15:00Z,uncategorized,application/vnd.openxmlformats-officedocument.presentationml.presentation,Chapter_4_V7.01.pptx,Chapter_4_V7.01.pptx,10500000022001915,False,False,,False,False,,ppt,2025-10-16T16:41:15Z,2174996,,,success,https://canvas.instructure.com/files/1050~183412251/download?download_frd=1&verifier=utpTUWDIewXsYzIWwzn646miDgGaoew38kbRu0fl,utpTUWDIewXsYzIWwzn646miDgGaoew38kbRu0fl,inherit
10500000179500026,2025-07-28T16:19:13Z,2025-10-24T18:32:09Z,uncategorized,application/vnd.openxmlformats-officedocument.presentationml.presentation,Chapter_5_V7.01.pptx,Chapter_5_V7.01.pptx,10500000022001915,False,False,,False,False,,ppt,2023-11-03T21:18:37Z,2094078,,,success,https://canvas.instructure.com/files/1050~179500026/download?download_frd=1&verifier=HHHXc1N1Hr5pklKqHZ4GE2GEDYASTQfDX61hbDnx,HHHXc1N1Hr5pklKqHZ4GE2GEDYASTQfDX61hbDnx,inherit
10500000179500029,2025-07-28T16:19:14Z,2025-09-29T15:32:13Z,uncategorized,application/vnd.openxmlformats-officedocument.presentationml.presentation,Chapter_6_V7.01.pptx,Chapter_6_V7.01.pptx,10500000022001915,False,False,,False,False,,ppt,2023-11-10T01:18:27Z,1724294,,,success,https://canvas.instructure.com/files/1050~179500029/download?download_frd=1&verifier=e56LyqSpt0OZiVwS3TPhbsTjCnAMIWlYeAAhicD1,e56LyqSpt0OZiVwS3TPhbsTjCnAMIWlYeAAhicD1,inherit
