id,name,course_code,calendar_ics
10500000002381272,,,
10500000002361950,CMPEN 270 Spring 2025,Section Merge: CMPEN 270 Spring 2025,https://canvas.instructure.com/feeds/calendars/course_UfpYw5R36j43TG3ohjlvA8sxaLRGjGYFq9nAPrwG.ics
10500000002412508,CMPEN/EE 362 - Fall 2025,Section Merge: CMPEN/EE 362 - Fall 2025,https://canvas.instructure.com/feeds/calendars/course_pvAVSgGzY81Bnvpw264AXiUHprBDLIJjga1Osb9i.ics
10500000002344751,,,
10500000002346465,"CMPSC 360, Section 005R: Discrete Math/Cs (22481--UP---P-CMPSC---360-------005R)","CMPSC 360, Section 005R: Discrete Math/Cs (22481--UP---P-CMPSC---360-------005R)",https://canvas.instructure.com/feeds/calendars/course_YXwSgUAjSidAVrHjLCSGX2PAg8TOoJLFm0SsvlT0.ics
10500000002413841,CMPSC 465 Data Structures and Algorithms,CMPSC 465 Fall 2025,https://canvas.instructure.com/feeds/calendars/course_JO3v8CHgKNMMfIezwHLiCvAkrG72X464JDWathJ1.ics
10500000002414153,"CMPSC 465, Section 003R: Data Struc and Algor (22581--UP---P-CMPSC---465-------003R)","CMPSC 465, Section 003R: Data Struc and Algor (22581--UP---P-CMPSC---465-------003R)",https://canvas.instructure.com/feeds/calendars/course_7wmsMPel8VUzVUbPBdOYs2lbEP2wfhjTWcupj2KG.ics
10500000002379441,Cmpsc221 Spring 2025 Sec 1 and 2,Section Merge: Cmpsc221 Spring 2025 Sec 1 and 2,https://canvas.instructure.com/feeds/calendars/course_Bz9zuS4GCualwsA9ijbOIY1Eykzi7FMFSCjestLo.ics
10500000002426582,CMPSC461-FA25(Sections-003-004) - Programming Language Concepts,Section Merge: CMPSC461-FA25(Sections-003-004) - Programming Language Concepts,https://canvas.instructure.com/feeds/calendars/course_zqFOaIPgmiN7tPBwuzqUfXPSp8zBmszjxzbOAu7U.ics
10500000002349828,"ECON 102, Section 010: Microeconomic Analysis (22481--UP---P-ECON----102-------010-)","ECON 102, Section 010: Microeconomic Analysis (22481--UP---P-ECON----102-------010-)",https://canvas.instructure.com/feeds/calendars/course_IDIVyAAYngQ8c8cQ6ELHr823z8hMQGORRUbCsZl8.ics
