title,created_at,updated_at,html_url,editing_roles,front_page,hide_from_students,last_edited_by,locked_for_user,page_id,publish_at,published,todo_date,url
Chapter 18 Figures,2024-08-19T18:53:26Z,2024-08-19T18:53:26Z,https://canvas.instructure.com/courses/1050~2349828/pages/chapter-18-figures,teachers,False,False,"{""id"": 10500000007192871, ""anonymous_id"": ""2vdxteubdwn"", ""display_name"": ""Sean Inoue"", ""avatar_image_url"": ""https://canvas.instructure.com/images/messages/avatar-50.png"", ""html_url"": ""https://canvas.instructure.com/courses/1050~2349828/users/1050~7192871"", ""pronouns"": null}",False,10500000012788782,,True,,chapter-18-figures
Grade Calculator,2024-08-19T18:53:26Z,2024-08-19T18:53:26Z,https://canvas.instructure.com/courses/1050~2349828/pages/grade-calculator,teachers,False,False,,False,10500000012788784,,True,,grade-calculator
"Notes on Model Building, Endogeneity and Exogeneity",2024-08-19T18:53:26Z,2024-08-19T18:53:26Z,https://canvas.instructure.com/courses/1050~2349828/pages/notes-on-model-building-endogeneity-and-exogeneity,teachers,False,False,,False,10500000012788785,,True,,notes-on-model-building-endogeneity-and-exogeneity
Old Exam 1,2024-08-19T18:53:26Z,2024-08-19T18:53:26Z,https://canvas.instructure.com/courses/1050~2349828/pages/old-exam-1,teachers,False,False,"{""id"": 10500000007192871, ""anonymous_id"": ""2vdxteubdwn"", ""display_name"": ""Sean Inoue"", ""avatar_image_url"": ""https://canvas.instructure.com/images/messages/avatar-50.png"", ""html_url"": ""https://canvas.instructure.com/courses/1050~2349828/users/1050~7192871"", ""pronouns"": null}",False,10500000012788787,,True,,old-exam-1
Old Exam 2,2024-08-19T18:53:26Z,2024-08-19T18:53:26Z,https://canvas.instructure.com/courses/1050~2349828/pages/old-exam-2,teachers,False,False,"{""id"": 10500000007192871, ""anonymous_id"": ""2vdxteubdwn"", ""display_name"": ""Sean Inoue"", ""avatar_image_url"": ""https://canvas.instructure.com/images/messages/avatar-50.png"", ""html_url"": ""https://canvas.instructure.com/courses/1050~2349828/users/1050~7192871"", ""pronouns"": null}",False,10500000012788789,,True,,old-exam-2
Old Exam 3 (Ignore Allais' Paradox Question),2024-08-19T18:53:26Z,2024-12-02T04:19:30Z,https://canvas.instructure.com/courses/1050~2349828/pages/old-exam-3-ignore-allais-paradox-question,teachers,False,False,"{""id"": 10500000007192871, ""anonymous_id"": ""2vdxteubdwn"", ""display_name"": ""Sean Inoue"", ""avatar_image_url"": ""https://canvas.instructure.com/images/messages/avatar-50.png"", ""html_url"": ""https://canvas.instructure.com/courses/1050~2349828/users/1050~7192871"", ""pronouns"": null}",False,10500000012788791,,True,,old-exam-3-ignore-allais-paradox-question
Exam 1 Other Practice Questions,2024-09-26T14:17:02Z,2024-09-26T14:17:02Z,https://canvas.instructure.com/courses/1050~2349828/pages/exam-1-other-practice-questions,teachers,False,False,"{""id"": 10500000007192871, ""anonymous_id"": ""2vdxteubdwn"", ""display_name"": ""Sean Inoue"", ""avatar_image_url"": ""https://canvas.instructure.com/images/messages/avatar-50.png"", ""html_url"": ""https://canvas.instructure.com/courses/1050~2349828/users/1050~7192871"", ""pronouns"": null}",False,10500000012932678,,True,,exam-1-other-practice-questions
Exam 2 Other Practice Questions,2024-09-26T14:17:29Z,2024-09-26T14:17:29Z,https://canvas.instructure.com/courses/1050~2349828/pages/exam-2-other-practice-questions,teachers,False,False,"{""id"": 10500000007192871, ""anonymous_id"": ""2vdxteubdwn"", ""display_name"": ""Sean Inoue"", ""avatar_image_url"": ""https://canvas.instructure.com/images/messages/avatar-50.png"", ""html_url"": ""https://canvas.instructure.com/courses/1050~2349828/users/1050~7192871"", ""pronouns"": null}",False,10500000012932679,,True,,exam-2-other-practice-questions
Exam 3 Other Practice Questions,2024-09-26T14:17:44Z,2024-09-26T14:17:44Z,https://canvas.instructure.com/courses/1050~2349828/pages/exam-3-other-practice-questions,teachers,False,False,"{""id"": 10500000007192871, ""anonymous_id"": ""2vdxteubdwn"", ""display_name"": ""Sean Inoue"", ""avatar_image_url"": ""https://canvas.instructure.com/images/messages/avatar-50.png"", ""html_url"": ""https://canvas.instructure.com/courses/1050~2349828/users/1050~7192871"", ""pronouns"": null}",False,10500000012932680,,True,,exam-3-other-practice-questions
Exam 1 Version A,2024-10-08T17:16:44Z,2024-10-08T17:16:44Z,https://canvas.instructure.com/courses/1050~2349828/pages/exam-1-version-a,teachers,False,False,"{""id"": 10500000007192871, ""anonymous_id"": ""2vdxteubdwn"", ""display_name"": ""Sean Inoue"", ""avatar_image_url"": ""https://canvas.instructure.com/images/messages/avatar-50.png"", ""html_url"": ""https://canvas.instructure.com/courses/1050~2349828/users/1050~7192871"", ""pronouns"": null}",False,10500000012942985,,True,,exam-1-version-a
10.14 Class Video Recording,2024-10-14T21:55:05Z,2024-10-14T22:03:39Z,https://canvas.instructure.com/courses/1050~2349828/pages/10-dot-14-class-video-recording,teachers,False,False,"{""id"": 10500000007192871, ""anonymous_id"": ""2vdxteubdwn"", ""display_name"": ""Sean Inoue"", ""avatar_image_url"": ""https://canvas.instructure.com/images/messages/avatar-50.png"", ""html_url"": ""https://canvas.instructure.com/courses/1050~2349828/users/1050~7192871"", ""pronouns"": null}",False,10500000012949136,,True,,10-dot-14-class-video-recording
Exam 2 Version A,2024-11-08T16:34:47Z,2024-11-08T16:34:47Z,https://canvas.instructure.com/courses/1050~2349828/pages/exam-2-version-a,teachers,False,False,"{""id"": 10500000007192871, ""anonymous_id"": ""2vdxteubdwn"", ""display_name"": ""Sean Inoue"", ""avatar_image_url"": ""https://canvas.instructure.com/images/messages/avatar-50.png"", ""html_url"": ""https://canvas.instructure.com/courses/1050~2349828/users/1050~7192871"", ""pronouns"": null}",False,10500000012985716,,True,,exam-2-version-a
Exam 3 Version A,2024-12-10T19:21:02Z,2024-12-10T19:21:02Z,https://canvas.instructure.com/courses/1050~2349828/pages/exam-3-version-a,teachers,False,False,"{""id"": 10500000007192871, ""anonymous_id"": ""2vdxteubdwn"", ""display_name"": ""Sean Inoue"", ""avatar_image_url"": ""https://canvas.instructure.com/images/messages/avatar-50.png"", ""html_url"": ""https://canvas.instructure.com/courses/1050~2349828/users/1050~7192871"", ""pronouns"": null}",False,10500000013084551,,True,,exam-3-version-a
