title,created_at,updated_at,html_url,editing_roles,front_page,hide_from_students,last_edited_by,locked_for_user,page_id,publish_at,published,todo_date,url
"CMPSC 465: Data Structures and Algorithms, Fall 2025 Syllabus",2025-08-18T19:11:36Z,2025-09-18T15:08:23Z,https://canvas.instructure.com/courses/1050~2413841/pages/cmpsc-465-data-structures-and-algorithms-fall-2025-syllabus,teachers,True,False,"{""id"": 10500000007089843, ""anonymous_id"": ""2vdxteu96er"", ""display_name"": ""Md Hasin Abrar"", ""avatar_image_url"": ""https://canvas.instructure.com/images/messages/avatar-50.png"", ""html_url"": ""https://canvas.instructure.com/courses/1050~2413841/users/1050~7089843"", ""pronouns"": null}",False,10500000013845001,,True,,cmpsc-465-data-structures-and-algorithms-fall-2025-syllabus
Academic Integrity Violation Process,2025-08-18T22:18:38Z,2025-08-18T22:18:38Z,https://canvas.instructure.com/courses/1050~2413841/pages/academic-integrity-violation-process,teachers,False,False,,False,10500000013847401,,True,,academic-integrity-violation-process
Consequences of an AI Violation,2025-08-18T22:18:38Z,2025-08-18T22:18:38Z,https://canvas.instructure.com/courses/1050~2413841/pages/consequences-of-an-ai-violation,teachers,False,False,,False,10500000013847402,,True,,consequences-of-an-ai-violation
Types of AI Violations,2025-08-18T22:18:38Z,2025-08-18T22:18:38Z,https://canvas.instructure.com/courses/1050~2413841/pages/types-of-ai-violations,teachers,False,False,,False,10500000013847403,,True,,types-of-ai-violations
What is Academic Integrity (AI)?,2025-08-18T22:18:39Z,2025-08-18T22:18:39Z,https://canvas.instructure.com/courses/1050~2413841/pages/what-is-academic-integrity-ai,teachers,False,False,,False,10500000013847404,,True,,what-is-academic-integrity-ai
Why is Academic Integrity Important?,2025-08-18T22:18:39Z,2025-08-18T22:18:39Z,https://canvas.instructure.com/courses/1050~2413841/pages/why-is-academic-integrity-important,teachers,False,False,,False,10500000013847405,,True,,why-is-academic-integrity-important
Slides and recordings,2025-08-27T17:56:45Z,2025-10-16T03:03:26Z,https://canvas.instructure.com/courses/1050~2413841/pages/slides-and-recordings,teachers,False,False,"{""id"": 10500000007111179, ""anonymous_id"": ""2vdxteu9mvf"", ""display_name"": ""Ke Chen"", ""avatar_image_url"": ""https://canvas.instructure.com/images/messages/avatar-50.png"", ""html_url"": ""https://canvas.instructure.com/courses/1050~2413841/users/1050~7111179"", ""pronouns"": null}",False,10500000013975467,,True,,slides-and-recordings
Recitation problem sets and solutions,2025-09-06T00:27:27Z,2025-10-22T14:16:40Z,https://canvas.instructure.com/courses/1050~2413841/pages/recitation-problem-sets-and-solutions,teachers,False,False,"{""id"": 10500000007089843, ""anonymous_id"": ""2vdxteu96er"", ""display_name"": ""Md Hasin Abrar"", ""avatar_image_url"": ""https://canvas.instructure.com/images/messages/avatar-50.png"", ""html_url"": ""https://canvas.instructure.com/courses/1050~2413841/users/1050~7089843"", ""pronouns"": null}",False,10500000013984723,,True,,recitation-problem-sets-and-solutions
Homework Solutions,2025-09-16T16:12:40Z,2025-10-22T14:14:54Z,https://canvas.instructure.com/courses/1050~2413841/pages/homework-solutions,teachers,False,False,"{""id"": 10500000007089843, ""anonymous_id"": ""2vdxteu96er"", ""display_name"": ""Md Hasin Abrar"", ""avatar_image_url"": ""https://canvas.instructure.com/images/messages/avatar-50.png"", ""html_url"": ""https://canvas.instructure.com/courses/1050~2413841/users/1050~7089843"", ""pronouns"": null}",False,10500000013996691,,True,,homework-solutions
Quizzes,2025-09-18T15:07:37Z,2025-10-14T18:48:25Z,https://canvas.instructure.com/courses/1050~2413841/pages/quizzes,teachers,False,False,"{""id"": 10500000007089843, ""anonymous_id"": ""2vdxteu96er"", ""display_name"": ""Md Hasin Abrar"", ""avatar_image_url"": ""https://canvas.instructure.com/images/messages/avatar-50.png"", ""html_url"": ""https://canvas.instructure.com/courses/1050~2413841/users/1050~7089843"", ""pronouns"": null}",False,10500000013999594,,True,,quizzes
